date_no,mmm_yy,week_no
4/1/2022,4/1/2022,W 14
4/3/2022,4/1/2022,W 15
4/4/2022,4/1/2022,W 15
4/5/2022,4/1/2022,W 15
4/6/2022,4/1/2022,W 15
4/7/2022,4/1/2022,W 15
4/8/2022,4/1/2022,W 15
4/9/2022,4/1/2022,W 15
4/10/2022,4/1/2022,W 16
4/11/2022,4/1/2022,W 16
4/12/2022,4/1/2022,W 16
4/13/2022,4/1/2022,W 16
4/14/2022,4/1/2022,W 16
4/15/2022,4/1/2022,W 16
4/16/2022,4/1/2022,W 16
4/2/2022,4/1/2022,W 14
4/17/2022,4/1/2022,W 17
4/18/2022,4/1/2022,W 17
4/19/2022,4/1/2022,W 17
4/20/2022,4/1/2022,W 17
4/21/2022,4/1/2022,W 17
4/22/2022,4/1/2022,W 17
4/23/2022,4/1/2022,W 17
4/24/2022,4/1/2022,W 18
4/25/2022,4/1/2022,W 18
4/26/2022,4/1/2022,W 18
4/27/2022,4/1/2022,W 18
4/28/2022,4/1/2022,W 18
4/29/2022,4/1/2022,W 18
4/30/2022,4/1/2022,W 18
8/16/2022,8/1/2022,W 34
8/1/2022,8/1/2022,W 32
8/2/2022,8/1/2022,W 32
8/3/2022,8/1/2022,W 32
8/4/2022,8/1/2022,W 32
8/5/2022,8/1/2022,W 32
8/6/2022,8/1/2022,W 32
8/7/2022,8/1/2022,W 33
8/8/2022,8/1/2022,W 33
8/9/2022,8/1/2022,W 33
8/10/2022,8/1/2022,W 33
8/11/2022,8/1/2022,W 33
8/12/2022,8/1/2022,W 33
8/13/2022,8/1/2022,W 33
8/14/2022,8/1/2022,W 34
8/15/2022,8/1/2022,W 34
8/17/2022,8/1/2022,W 34
8/18/2022,8/1/2022,W 34
8/19/2022,8/1/2022,W 34
8/20/2022,8/1/2022,W 34
8/21/2022,8/1/2022,W 35
8/22/2022,8/1/2022,W 35
8/23/2022,8/1/2022,W 35
8/24/2022,8/1/2022,W 35
8/25/2022,8/1/2022,W 35
8/26/2022,8/1/2022,W 35
8/27/2022,8/1/2022,W 35
8/28/2022,8/1/2022,W 36
8/29/2022,8/1/2022,W 36
8/30/2022,8/1/2022,W 36
7/16/2022,7/1/2022,W 29
7/2/2022,7/1/2022,W 27
7/3/2022,7/1/2022,W 28
7/4/2022,7/1/2022,W 28
7/5/2022,7/1/2022,W 28
7/6/2022,7/1/2022,W 28
7/7/2022,7/1/2022,W 28
7/8/2022,7/1/2022,W 28
7/9/2022,7/1/2022,W 28
7/10/2022,7/1/2022,W 29
7/11/2022,7/1/2022,W 29
7/12/2022,7/1/2022,W 29
7/13/2022,7/1/2022,W 29
7/14/2022,7/1/2022,W 29
7/15/2022,7/1/2022,W 29
7/1/2022,7/1/2022,W 27
7/17/2022,7/1/2022,W 30
7/18/2022,7/1/2022,W 30
7/19/2022,7/1/2022,W 30
7/20/2022,7/1/2022,W 30
7/21/2022,7/1/2022,W 30
7/22/2022,7/1/2022,W 30
7/23/2022,7/1/2022,W 30
7/24/2022,7/1/2022,W 31
7/25/2022,7/1/2022,W 31
7/26/2022,7/1/2022,W 31
7/27/2022,7/1/2022,W 31
7/28/2022,7/1/2022,W 31
7/29/2022,7/1/2022,W 31
7/30/2022,7/1/2022,W 31
