order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FAP410101302,4/8/2022,789101,25891203,374,4/10/2022,4/10/2022,374,1,1,1
FAP410101302,4/8/2022,789101,25891302,46,4/10/2022,4/10/2022,44,0,1,0
FAP410101302,4/8/2022,789101,25891103,493,4/10/2022,4/10/2022,493,1,1,1
FAP410101402,4/7/2022,789101,25891402,299,4/10/2022,4/10/2022,239,0,1,0
FAP410101402,4/7/2022,789101,25891201,442,4/10/2022,4/10/2022,442,1,1,1
FAP410101402,4/7/2022,789101,25891101,311,4/10/2022,4/10/2022,311,1,1,1
FAP410101502,4/9/2022,789101,25891303,23,4/10/2022,4/10/2022,23,1,1,1
FAP410101502,4/9/2022,789101,25891502,142,4/10/2022,4/10/2022,142,1,1,1
FAP410101502,4/9/2022,789101,25891501,123,4/10/2022,4/10/2022,123,1,1,1
FAP410101603,4/8/2022,789101,25891603,197,4/10/2022,4/11/2022,197,1,0,0
FAP410102101,4/7/2022,789102,25891101,333,4/10/2022,4/9/2022,333,1,1,1
FAP410102501,4/7/2022,789102,25891501,218,4/10/2022,4/10/2022,196,0,1,0
FAP410102503,4/8/2022,789102,25891203,120,4/10/2022,4/10/2022,120,1,1,1
FAP410102503,4/8/2022,789102,25891202,253,4/10/2022,4/10/2022,228,0,1,0
FAP410102503,4/8/2022,789102,25891503,167,4/10/2022,4/10/2022,134,0,1,0
FAP410102603,4/9/2022,789102,25891303,20,4/10/2022,4/10/2022,20,1,1,1
FAP410102603,4/9/2022,789102,25891603,145,4/10/2022,4/10/2022,145,1,1,1
FAP410102603,4/9/2022,789102,25891502,226,4/10/2022,4/10/2022,226,1,1,1
FAP410102603,4/9/2022,789102,25891103,316,4/10/2022,4/10/2022,253,0,1,0
FAP410102603,4/9/2022,789102,25891402,228,4/10/2022,4/10/2022,228,1,1,1
FAP410102603,4/9/2022,789102,25891602,67,4/10/2022,4/10/2022,67,1,1,1
FAP410103403,4/9/2022,789103,25891403,477,4/10/2022,4/10/2022,429,0,1,0
FAP410103601,4/7/2022,789103,25891502,157,4/10/2022,4/10/2022,149,0,1,0
FAP410103601,4/7/2022,789103,25891601,197,4/10/2022,4/10/2022,187,0,1,0
FAP410103601,4/7/2022,789103,25891303,58,4/10/2022,4/10/2022,46,0,1,0
